date,text,sender
2022-04-28 05:46:38+00:00,ሃያት ሆስፒታል ሜዲካል ኮሌጅህክምና ለማግኘት አስበዋል ?የት መሄድስ እንዳለቦት ግራ ገብቶት ይሆን?ሃያት ሆስፒታል በ አዲስ አስተዳደር እና ንፅህናውን በጠበቃው ሆስፒታላችን በ ከፋተኛ ስፔሻሊስት ሃኪሞቻችን  ለናንተ ልዮ የሆነ የጤና አገልግሎት ለመስጠት በራችን ክፍት መሆኑን እያሳወቅን።ማንኛውም አይነት የጤና አገልግሎት እኛ ጋር ያገኛሉ ።ይምጡ እና እንማከርቦሌ ሞኤንኮ ፊት ለ ፊት ያገኙናል,Unknown
2022-05-01 11:13:33+00:00,"ከሳምንት በፊት በለቀቅነው ቦርጭን በህክምና እንዴት ማጥፋት ይቻላል በሚለው ርእሳችንከ 100,000 በላይ እይታን አግኝቷል ።ስለሆነም ቦርጭን ከምናጠፋበት ዋና መንገዶች ዋና አማራጭ የሆነው ስፖርታዊ እንቅስቃሴ ሲሆንእቤት ውስጥ ሆነን እነዚህን ቀለል ያሉ ስፖርታዊ እንቅስቃሴዎችን በማድረግ ቦርጭን ማጥፋት ይችላሉአሁን በ ዮቲውብ ቻናላችን በመሄድISSA certified personal Trainerትንሳይ ብርሃኑ ጋር ቆይታ አድርገናል።በቀላሉ ቦርጭን ያጥፉቦሌ ቡልቡላ ማሪያም ማዞሪያፐልስ ፊትነስ ጂምናዚየም በመምጣት አብረውን መስራት ይችላሉhttps://youtu.be/zZCUggh-1DA",Unknown
2022-05-06 17:51:05+00:00,ዛሬ ምሽት 3:30 በ ፋና ቴሌቪዥንስለ ፕሮቲን : ክሬቲን ፓውደሮች ምን ማወቅ ይፈልጋሉ?ባሁኑ ሰአት በ ማህበራዊ ሚዲያ በ ከፋተኛ ሁኔታ እየተሸጡ የሚገኙ እነዚህ ፖውደሮችእውነት ለ ኩላሊት ህመም ያጋልጣሉ ወይ?በተጨማሪም እቤቶ ሆነው እነዚህን እንቅስቃሴዎች  በማድረግ ጤናዎን ይጠብቁ።ስፖርት ሱስ ይሆናል ወይ ? መልሱን በ ፋና ቴሌቪዥን ይጠብቁን።3:30 በ ፋና ቴሌቪዥን,Unknown
2022-05-07 18:22:14+00:00,በብዙ ማህበራዊ ሚዲያዎች በ ከፋተኛ ሁኔታ እየተሸጠ ያለውፕሮቲን- ክሬቲን ፖውደሮች እና  ሌሎች ያወፍራል ተብለው የሚሸጡ ፓውደሮች እውነት ጥቅም አላቸው ወይ ?ምን አልባት ለልጆ መግዛት አስበው ይሆናል ?ወይም ባሁኑ ሰአት ገዝተው እየተጠቀሙም ይሆናል ?ወይንም ደግሞ ለመግዛት አስበው የትኛው ፖውደር ልጠቀም እያሉ ነው ?በዚህ ቪዲዮ ሙሉ መልሱን መልሰናል !!!ሁሉም ሰው መውሰድ ይችላል ወይ ?እድሜስ ገደብ አለው ወይ ??ለ ኩላሊት ህመምስ ያጋልጣል ወይ ?ውሃ በደንብ ጠጡ ለምን ተባለ ?እነዚህን ዋና ነገሮች ላይ መልስ ሰጠናል አሁኑኑ ይመልከቱ !እርሶ ባይጠቀሙ ሌላ ቤተሰቦ ሊጠቀም ስለሚችል ሼር በማድረግ ለሁሉም ሰው እናድርስከዚህ በፊት እነዚህን ፓውደሮች የሚጠቀሙ ከሆነልምዶን በ ዮቲውብ ኮሜንት ላይ ያስቀምጡልን👇👇👇👇👇👇👇👇👇👇👇👇👇👇ተጭነው ይመልከቱhttps://youtu.be/43t6CLizU28,Unknown
2022-05-15 15:59:10+00:00,ልጆች ላላችሁ / አባት እናት ወይንም እህት ወንድም / በቅርቡ ልጅ ለመውለድ የምታስቡ / ባሁኑ ሰአት እርግዝና ላይ ላላችሁ ።ልጆች አንዳንድ ግዜ ምግብ አልመገብ ይላሉ  ይህ ደግሞ ለወላጅ በጣም አስጨናቂ ነገር ነው !ህፃናት ምግብ አልመገብ የሚሉት በምን ምክንያት ይሆን ?ህፃናት  ከተወለዱ 1 ሰዐት ጀምሮ የእናት ጡት ወተትን ማግኘት አለባቸው : የእናት ጡት ወተትን የሚወስዱ ልጆች ወደፊት የመወፈር እድላቸው በበሽታ የመጠቃት እድላቸው አነስተኛ ነው ።ህፃናት ስድስት ወር ሲሞላቸው ተጨማሪ ምግብ መመገብ ሲፈልጉ አንዳንድ ምልክቶችን ያሳያሉ።ህፃናት የምግብ መመገብ ፍላጎታቸው ለምን ይቀንሳል ?ዶ/ር ኤልሳቤጥ ለዚህ መልስ ይህን ትለናለችበ ዮቲውብ ቻናላችን ላይ የ ዶ/ርን ስልክ ያስቀመጥን ሲሆን በ ግል ለማማከር መደወል ትችላላችሁ ።👇👇👇👇https://youtu.be/V6zWVHcyFXI,Unknown
2022-05-20 18:04:53+00:00,ከትንሽ ግዚያት በፊት ስፖርት መስራት እንደ ቅንጦት ይታይ ነበር አሁን ላይ ግን በ ስፖርት መስራያ ቦታዎች ላይ ብዙዎች ሲሰሩ ይታያልይህንንም ተከትሎ ስፖርት ማወቅ ያለብን በጣም አስፈላጊ ነገር አለ!ብዙ ሰው አንድ አመት ያህል ሰርቻለው ለውጥ ምንም የለኝም ! ስፖርት ጥቅም የለውም ይላልእኛ ምን መስራት እንዳለቦት ሚስጥሩን እንንገሮት!ከዚ በኋላ ጊዜዎን ሳያባክኑ በአጭር ግዜ ውስጥለውጦን ያያሉ።በዚህ ዮቲውብ ቪዲዮ ላይምን መስራት እንዳለቦት ለ ጀማሪ እንዲሁም በመስራት ላይ ላላቹአጭር ቪዲዮ ይመልከቱ👇👇👇👇👇👇https://youtu.be/_IEWt07bECg,Unknown
2022-05-31 17:51:13+00:00,ድንገተኛ አደጋ / የአጥንት ስብራትአያርገውና ድንገተኛ የሆነ አደጋ ቢደርስቦ ምን ማድረግ እንዳለቦ ያቃሉ?በሃገራችን የመኪና አደጋ በ ከፍተኛ ደረጃ አየጨመረ እና የብዙ ሰዎችን ሂወት እየቀጠፈም ይገኛል ።በሃገራችን ያለውም ወቅታዊ ሁኔታም ጦርነቶች ብዙ ሰዎችን ለ ድንገተኛ የሆነ አደጋዎች : ስብራቶች ያጋልጣል።ዶ/ር ቃልቂዳን (አጥንት ስፔሻሊስት ሃኪም) ስለ ድንገተኛ አደጋ እና ስብራቶች አብራርቶልናልእርሶም ይህ ችግር ቢደርስቦ ማድረግ ያለቦትን ነገር ቀድመው ይወቁዶክተርስ ኢትዮጵያ በ አዳዲስ ፕሮግራሞችና የናንተን ጥያቄዎች በሶሻል ሚዲያ መልስ የሚያገኙበትን መንገድ እያስተካከልን ሲሆን ከ ትንሽ የ እረፍት ግዜያት በኋላ በ ቴሌቪዥን ፕሮግማችን በ ፋና ቴሌቪዥን ያገኙናልከታች ያለውን በመጫን ይመልከቱ!👇👇👇👇👇👇👇https://youtu.be/QI-8oqW80uI,Unknown
2022-06-12 17:15:47+00:00,ስፖርት የመስራት ሱስ ይኖር ይሆን?በአሁኑ ወቅት ብዙ የስፖርት መስሪያ ቦታዎች ተጨናንቀው ይታያልስፖርት መስራት ለጤና ጠቃሚ ቢሆንም እንዳንድ ግዜ ግን ከዛ በላይም አልፎ ስፖርት ካልሰራው ዲፕሬሽን ውስጥ ገባለው / ሰውነቴ ይበላሻል የሚሉ ሰዎችም አሉ!ሱስ ማለት ራስን ለ ሆነ ነገር ተገዢ ማድረግ ነው!ስለዚህ ስፖርት መስራት እውነት ሱስ ይሆን?👇👇👇ሙሉ ቪዲዮውን በ ዮቲውብ ይመልከቱስፖርት ቤት (ጂም) ለሚያበዙ ሁሉ ሼር ያድርጉ!👇👇👇https://youtu.be/WPlRuRtQXN8,Unknown
2022-08-02 17:42:08+00:00,ክረምቱን ስፖርት መስራት አስበው ጂም ለመግባት ካልቻሉ ባሉበት ቦታ ሆነውእነዚህን እንቅስቃሴዎች በማድረግ በ አጭር ግዜ ውስጥ ለውጥ ማምጣት ይችላሉእቤትዎ ሆነው ጠዎት ወይንም ማታ ላይ በ 5 ደቃቃ ውስጥ ብቻ- የጎን ቦርጭ(ስብ) ለማጥፋት- ቀንዎን በንቃት ለመጀመርእነዚህን እንቅስቃሴዎች ያድርጉለሁሉም እድሜ ክልል የሚሆን እንቅስቃሴ ስለሆነ ከ ቤተሰቦ ጋር መስራት ይችላሉ !!ሊንኩን በመጫን ይመልከቱ / ዶክተርስ ኢትዮጵያ👇👇👇👇👇https://youtu.be/0uiTzjEbh90,Unknown
2023-08-29 17:20:05+00:00,👇👇👇👇👇👇https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqcዶክተርስ ኢትዮጽያ በአዲስ ፕሮገራም ጀመረማረጥ  (ሜኖፖዝ ) ጋር ተያይዞ የሚመጣ ሴቶች ላይ የሚከሰት የጤና ችግሮችሴቶች ላይ የሚከሰት የ ግብረስጋ ግንኙነት ስሜት መቀነስ ?የሴቶች የወር አበባ ግዜ እና ሌሎችም ጉዳዮች ተነስተዋል አሁኑኑ ይመልከቱ !!ከ ቴሌቪዥን ፕሮግራሞቻችን በተጨማሪ አዲስ በልዩ አቀራረብ ይበልጥ የናንተን የተመልካች ጥያቄ ለመመለስይህን የመሰለ ፕሮግራም ይዘን መተናልየጤና ጥያቄዎን ለመላክ@doctorsEthttps://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc,Unknown
